,county_state,Wiki Link 1,Wiki Link 2,Demogs Link 1,Demogs Link 2
0,Snohomish Washington,"https://en.wikipedia.org/wiki/Snohomish,_Washington","https://en.wikipedia.org/wiki/Snohomish,_Washington#History",https://worldpopulationreview.com/us-cities/snohomish-wa-population/,https://worldpopulationreview.com/us-counties/wa/snohomish-county-population/
1,Cook Illinois,"https://en.wikipedia.org/wiki/Cook_County,_Illinois",https://en.wikipedia.org/wiki/Cook_County_(disambiguation),https://worldpopulationreview.com/states/illinois-population/,https://worldpopulationreview.com/us-counties/il/cook-county-population/
2,Orange California,"https://en.wikipedia.org/wiki/Orange,_California","https://en.wikipedia.org/wiki/Orange,_California#History",https://worldpopulationreview.com/us-cities/orange-ca-population/,https://worldpopulationreview.com/us-counties/ca/orange-county-population/
3,Maricopa Arizona,"https://en.wikipedia.org/wiki/Maricopa,_Arizona","https://en.wikipedia.org/wiki/Maricopa,_Arizona#History",https://worldpopulationreview.com/us-cities/maricopa-az-population/,https://worldpopulationreview.com/states/arizona-population/
4,Los Angeles California,https://en.wikipedia.org/wiki/Los_Angeles,https://simple.wikipedia.org/wiki/Los_Angeles,https://worldpopulationreview.com/us-cities/los-angeles-population/,https://worldpopulationreview.com/us-counties/ca/los-angeles-county-population/
5,Santa Clara California,"https://en.wikipedia.org/wiki/Santa_Clara,_California","https://en.wikipedia.org/wiki/Santa_Clara,_California#History",https://worldpopulationreview.com/us-cities/santa-clara-ca-population/,https://worldpopulationreview.com/us-counties/ca/santa-clara-county-population/
6,Suffolk Massachusetts,"https://en.wikipedia.org/wiki/Suffolk_County,_Massachusetts","https://en.wikipedia.org/wiki/Suffolk_County,_Massachusetts#History",https://worldpopulationreview.com/us-counties/ma/suffolk-county-population/,https://worldpopulationreview.com/states/massachusetts-population/
7,San Francisco California,https://en.wikipedia.org/wiki/San_Francisco,https://simple.wikipedia.org/wiki/San_Francisco,https://worldpopulationreview.com/us-cities/san-francisco-population/,https://worldpopulationreview.com/us-counties/ca/san-francisco-county-population/
8,Dane Wisconsin,"https://en.wikipedia.org/wiki/Dane_County,_Wisconsin","https://en.wikipedia.org/wiki/Albion,_Dane_County,_Wisconsin",https://worldpopulationreview.com/us-cities/dane-wi-population/,https://worldpopulationreview.com/us-counties/wi/dane-county-population/
9,San Diego California,https://en.wikipedia.org/wiki/San_Diego,"https://simple.wikipedia.org/wiki/San_Diego,_California",https://worldpopulationreview.com/us-cities/san-diego-population/,https://worldpopulationreview.com/us-counties/ca/san-diego-county-population/
10,Bexar Texas,"https://en.wikipedia.org/wiki/Bexar_County,_Texas","https://en.wikipedia.org/wiki/Bexar_County,_Texas#History",https://worldpopulationreview.com/us-counties/tx/bexar-county-population/,https://worldpopulationreview.com/us-cities/san-antonio-population/
11,Douglas Nebraska,"https://en.wikipedia.org/wiki/Douglas,_Nebraska","https://en.wikipedia.org/wiki/Douglas,_Nebraska#Geography",https://worldpopulationreview.com/us-counties/ne/douglas-county-population/,https://worldpopulationreview.com/states/nebraska-population/
12,Humboldt California,"https://en.wikipedia.org/wiki/Humboldt_County,_California","https://en.wikipedia.org/wiki/Arcata,_California",https://worldpopulationreview.com/us-counties/ca/humboldt-county-population/,https://worldpopulationreview.com/us-cities/humboldt-hill-ca-population/
13,Sacramento California,"https://en.wikipedia.org/wiki/Sacramento,_California","https://simple.wikipedia.org/wiki/Sacramento,_California",https://worldpopulationreview.com/us-cities/sacramento-population/,https://worldpopulationreview.com/us-counties/ca/sacramento-county-population/
14,Solano California,"https://en.wikipedia.org/wiki/Solano_County,_California","https://en.wikipedia.org/wiki/Solano_County,_California#Geography",https://worldpopulationreview.com/us-counties/ca/solano-county-population/,https://datausa.io/profile/geo/solano-county-ca
