recordID,date,county,state,fips,cases,deaths
1,1/21/20,Snohomish,Washington,53061,1,0
2,1/22/20,Snohomish,Washington,53061,1,0
3,1/23/20,Snohomish,Washington,53061,1,0
4,1/24/20,Cook,Illinois,17031,1,0
5,1/24/20,Snohomish,Washington,53061,1,0
6,1/25/20,Orange,California,6059,1,0
7,1/25/20,Cook,Illinois,17031,1,0
8,1/25/20,Snohomish,Washington,53061,1,0
9,1/26/20,Maricopa,Arizona,4013,1,0
10,1/26/20,Los Angeles,California,6037,1,0
11,1/26/20,Orange,California,6059,1,0
12,1/26/20,Cook,Illinois,17031,1,0
13,1/26/20,Snohomish,Washington,53061,1,0
14,1/27/20,Maricopa,Arizona,4013,1,0
15,1/27/20,Los Angeles,California,6037,1,0
16,1/27/20,Orange,California,6059,1,0
17,1/27/20,Cook,Illinois,17031,1,0
18,1/27/20,Snohomish,Washington,53061,1,0
19,1/28/20,Maricopa,Arizona,4013,1,0
20,1/28/20,Los Angeles,California,6037,1,0
21,1/28/20,Orange,California,6059,1,0
22,1/28/20,Cook,Illinois,17031,1,0
23,1/28/20,Snohomish,Washington,53061,1,0
24,1/29/20,Maricopa,Arizona,4013,1,0
25,1/29/20,Los Angeles,California,6037,1,0
26,1/29/20,Orange,California,6059,1,0
27,1/29/20,Cook,Illinois,17031,1,0
28,1/29/20,Snohomish,Washington,53061,1,0
29,1/30/20,Maricopa,Arizona,4013,1,0
30,1/30/20,Los Angeles,California,6037,1,0
31,1/30/20,Orange,California,6059,1,0
32,1/30/20,Cook,Illinois,17031,2,0
33,1/30/20,Snohomish,Washington,53061,1,0
34,1/31/20,Maricopa,Arizona,4013,1,0
35,1/31/20,Los Angeles,California,6037,1,0
36,1/31/20,Orange,California,6059,1,0
37,1/31/20,Santa Clara,California,6085,1,0
38,1/31/20,Cook,Illinois,17031,2,0
39,1/31/20,Snohomish,Washington,53061,1,0
40,2/1/20,Maricopa,Arizona,4013,1,0
41,2/1/20,Los Angeles,California,6037,1,0
42,2/1/20,Orange,California,6059,1,0
43,2/1/20,Santa Clara,California,6085,1,0
44,2/1/20,Cook,Illinois,17031,2,0
45,2/1/20,Suffolk,Massachusetts,25025,1,0
46,2/1/20,Snohomish,Washington,53061,1,0
47,2/2/20,Maricopa,Arizona,4013,1,0
48,2/2/20,Los Angeles,California,6037,1,0
49,2/2/20,Orange,California,6059,1,0
50,2/2/20,San Francisco,California,6075,2,0
51,2/2/20,Santa Clara,California,6085,2,0
52,2/2/20,Cook,Illinois,17031,2,0
53,2/2/20,Suffolk,Massachusetts,25025,1,0
54,2/2/20,Snohomish,Washington,53061,1,0
55,2/3/20,Maricopa,Arizona,4013,1,0
56,2/3/20,Los Angeles,California,6037,1,0
57,2/3/20,Orange,California,6059,1,0
58,2/3/20,San Francisco,California,6075,2,0
59,2/3/20,Santa Clara,California,6085,2,0
